ForecastDate,ForecastHorizonDay,PredictedRevenue,Model,LowerRevenueEstimate,UpperRevenueEstimate
2011-12-01,1,54200.87890625,Tuned XGBoost Recursive Forecast,45718.969968749996,70195.29909375
2011-12-02,2,47685.37109375,Tuned XGBoost Recursive Forecast,39203.462156249996,63679.79128125
2011-12-03,3,5033.15380859375,Tuned XGBoost Recursive Forecast,0.0,21027.57399609375
2011-12-04,4,30759.994140625,Tuned XGBoost Recursive Forecast,22278.085203124996,46754.414328125
2011-12-05,5,61334.58984375,Tuned XGBoost Recursive Forecast,52852.680906249996,77329.01003125
2011-12-06,6,60961.37890625,Tuned XGBoost Recursive Forecast,52479.469968749996,76955.79909375
2011-12-07,7,56168.7421875,Tuned XGBoost Recursive Forecast,47686.833249999996,72163.162375
2011-12-08,8,56605.046875,Tuned XGBoost Recursive Forecast,48123.137937499996,72599.4670625
2011-12-09,9,49832.91015625,Tuned XGBoost Recursive Forecast,41351.001218749996,65827.33034375
2011-12-10,10,5707.412109375,Tuned XGBoost Recursive Forecast,0.0,21701.832296875
2011-12-11,11,26342.1328125,Tuned XGBoost Recursive Forecast,17860.223874999996,42336.553
2011-12-12,12,54862.54296875,Tuned XGBoost Recursive Forecast,46380.634031249996,70856.96315625
2011-12-13,13,56107.390625,Tuned XGBoost Recursive Forecast,47625.481687499996,72101.8108125
2011-12-14,14,51833.0,Tuned XGBoost Recursive Forecast,43351.091062499996,67827.4201875
2011-12-15,15,54636.44921875,Tuned XGBoost Recursive Forecast,46154.540281249996,70630.86940625
2011-12-16,16,46522.421875,Tuned XGBoost Recursive Forecast,38040.512937499996,62516.8420625
2011-12-17,17,3590.133056640625,Tuned XGBoost Recursive Forecast,0.0,19584.553244140625
2011-12-18,18,25128.07421875,Tuned XGBoost Recursive Forecast,16646.165281249996,41122.49440625
2011-12-19,19,56447.40625,Tuned XGBoost Recursive Forecast,47965.497312499996,72441.8264375
2011-12-20,20,56013.46484375,Tuned XGBoost Recursive Forecast,47531.555906249996,72007.88503125
2011-12-21,21,47564.46875,Tuned XGBoost Recursive Forecast,39082.559812499996,63558.8889375
2011-12-22,22,52745.859375,Tuned XGBoost Recursive Forecast,44263.950437499996,68740.2795625
2011-12-23,23,43850.140625,Tuned XGBoost Recursive Forecast,35368.231687499996,59844.5608125
2011-12-24,24,2256.82373046875,Tuned XGBoost Recursive Forecast,0.0,18251.24391796875
2011-12-25,25,25250.708984375,Tuned XGBoost Recursive Forecast,16768.800046874996,41245.129171875
2011-12-26,26,49332.75,Tuned XGBoost Recursive Forecast,40850.841062499996,65327.1701875
2011-12-27,27,51388.97265625,Tuned XGBoost Recursive Forecast,42907.063718749996,67383.39284375
2011-12-28,28,49607.16796875,Tuned XGBoost Recursive Forecast,41125.259031249996,65601.58815625
2011-12-29,29,53647.17578125,Tuned XGBoost Recursive Forecast,45165.266843749996,69641.59596875
2011-12-30,30,45389.47265625,Tuned XGBoost Recursive Forecast,36907.563718749996,61383.89284375
